Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
4,1618939258541,20/04/2021 17:20:58,1618939257421,-4,20/04/2021 13:20:57,49397,5,questionnaire-qtq4,,12046351,55f63fc432af740012171ef6,3643146,,complete,,607f03ae9835dd05232c2cc6,computer,Desktop or Laptop,Chromium OS 13729.56.0,Chrome 89.0.4389.95,1396x785,1396x682,,Demographic Questionnaire,4,No,gender-demo-q-text,
5,1618939258541,20/04/2021 17:20:58,1618939257421,-4,20/04/2021 13:20:57,49397,5,questionnaire-qtq4,,12046351,55f63fc432af740012171ef6,3643146,,complete,,607f03ae9835dd05232c2cc6,computer,Desktop or Laptop,Chromium OS 13729.56.0,Chrome 89.0.4389.95,1396x785,1396x682,,Demographic Questionnaire,4,No,hand-demo-q,Right
6,1618939258541,20/04/2021 17:20:58,1618939257422,-4,20/04/2021 13:20:57,49397,5,questionnaire-qtq4,,12046351,55f63fc432af740012171ef6,3643146,,complete,,607f03ae9835dd05232c2cc6,computer,Desktop or Laptop,Chromium OS 13729.56.0,Chrome 89.0.4389.95,1396x785,1396x682,,Demographic Questionnaire,4,No,hand-demo-q-quantised,2
7,1618939258541,20/04/2021 17:20:58,1618939257422,-4,20/04/2021 13:20:57,49397,5,questionnaire-qtq4,,12046351,55f63fc432af740012171ef6,3643146,,complete,,607f03ae9835dd05232c2cc6,computer,Desktop or Laptop,Chromium OS 13729.56.0,Chrome 89.0.4389.95,1396x785,1396x682,,Demographic Questionnaire,4,No,glasses-demo-q,No
8,1618939258541,20/04/2021 17:20:58,1618939257423,-4,20/04/2021 13:20:57,49397,5,questionnaire-qtq4,,12046351,55f63fc432af740012171ef6,3643146,,complete,,607f03ae9835dd05232c2cc6,computer,Desktop or Laptop,Chromium OS 13729.56.0,Chrome 89.0.4389.95,1396x785,1396x682,,Demographic Questionnaire,4,No,glasses-demo-q-quantised,2
9,1618939258541,20/04/2021 17:20:58,1618939257423,-4,20/04/2021 13:20:57,49397,5,questionnaire-qtq4,,12046351,55f63fc432af740012171ef6,3643146,,complete,,607f03ae9835dd05232c2cc6,computer,Desktop or Laptop,Chromium OS 13729.56.0,Chrome 89.0.4389.95,1396x785,1396x682,,Demographic Questionnaire,4,No,ethnicity-demo-q,Caucasian
10,1618939258541,20/04/2021 17:20:58,1618939257423,-4,20/04/2021 13:20:57,49397,5,questionnaire-qtq4,,12046351,55f63fc432af740012171ef6,3643146,,complete,,607f03ae9835dd05232c2cc6,computer,Desktop or Laptop,Chromium OS 13729.56.0,Chrome 89.0.4389.95,1396x785,1396x682,,Demographic Questionnaire,4,No,ethnicity-demo-q-quantised,3
11,1618939258541,20/04/2021 17:20:58,1618939257424,-4,20/04/2021 13:20:57,49397,5,questionnaire-qtq4,,12046351,55f63fc432af740012171ef6,3643146,,complete,,607f03ae9835dd05232c2cc6,computer,Desktop or Laptop,Chromium OS 13729.56.0,Chrome 89.0.4389.95,1396x785,1396x682,,Demographic Questionnaire,4,No,ethnicity-demo-q-text,
12,1618939258541,20/04/2021 17:20:58,1618939257424,-4,20/04/2021 13:20:57,49397,5,questionnaire-qtq4,,12046351,55f63fc432af740012171ef6,3643146,,complete,,607f03ae9835dd05232c2cc6,computer,Desktop or Laptop,Chromium OS 13729.56.0,Chrome 89.0.4389.95,1396x785,1396x682,,Demographic Questionnaire,4,No,education-demo-q,Undergraduate degree
13,1618939258541,20/04/2021 17:20:58,1618939257425,-4,20/04/2021 13:20:57,49397,5,questionnaire-qtq4,,12046351,55f63fc432af740012171ef6,3643146,,complete,,607f03ae9835dd05232c2cc6,computer,Desktop or Laptop,Chromium OS 13729.56.0,Chrome 89.0.4389.95,1396x785,1396x682,,Demographic Questionnaire,4,No,education-demo-q-quantised,4
14,1618939258541,20/04/2021 17:20:58,1618939257427,-4,20/04/2021 13:20:57,49397,5,questionnaire-qtq4,,12046351,55f63fc432af740012171ef6,3643146,,complete,,607f03ae9835dd05232c2cc6,computer,Desktop or Laptop,Chromium OS 13729.56.0,Chrome 89.0.4389.95,1396x785,1396x682,,Demographic Questionnaire,4,No,age-demo-q,24-29
15,1618939258541,20/04/2021 17:20:58,1618939257428,-4,20/04/2021 13:20:57,49397,5,questionnaire-qtq4,,12046351,55f63fc432af740012171ef6,3643146,,complete,,607f03ae9835dd05232c2cc6,computer,Desktop or Laptop,Chromium OS 13729.56.0,Chrome 89.0.4389.95,1396x785,1396x682,,Demographic Questionnaire,4,No,age-demo-q-quantised,2
16,1618939258541,20/04/2021 17:20:58,1618939257429,-4,20/04/2021 13:20:57,49397,5,questionnaire-qtq4,,12046351,55f63fc432af740012171ef6,3643146,,complete,,607f03ae9835dd05232c2cc6,computer,Desktop or Laptop,Chromium OS 13729.56.0,Chrome 89.0.4389.95,1396x785,1396x682,,Demographic Questionnaire,4,No,colorblind-demo-q,Yes - I sometimes mistake one color for another
17,1618939258541,20/04/2021 17:20:58,1618939257429,-4,20/04/2021 13:20:57,49397,5,questionnaire-qtq4,,12046351,55f63fc432af740012171ef6,3643146,,complete,,607f03ae9835dd05232c2cc6,computer,Desktop or Laptop,Chromium OS 13729.56.0,Chrome 89.0.4389.95,1396x785,1396x682,,Demographic Questionnaire,4,No,colorblind-demo-q-quantised,2
18,1618939258541,20/04/2021 17:20:58,1618939257430,-4,20/04/2021 13:20:57,49397,5,questionnaire-qtq4,,12046351,55f63fc432af740012171ef6,3643146,,complete,,607f03ae9835dd05232c2cc6,computer,Desktop or Laptop,Chromium OS 13729.56.0,Chrome 89.0.4389.95,1396x785,1396x682,,Demographic Questionnaire,4,No,END QUESTIONNAIRE,25107
1,1618936483841,20/04/2021 16:34:43,1618936483730,-4,20/04/2021 12:34:43,49397,5,questionnaire-qtq4,,12045238,601b56a319565951c0e6a626,3642989,,complete,,607eff3082508a37c968321f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 13.1.3,1440x900,1440x837,,Demographic Questionnaire,4,No,BEGIN QUESTIONNAIRE,
2,1618936525292,20/04/2021 16:35:25,1618936525209,-4,20/04/2021 12:35:25,49397,5,questionnaire-qtq4,,12045238,601b56a319565951c0e6a626,3642989,,complete,,607eff3082508a37c968321f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 13.1.3,1440x900,1440x837,,Demographic Questionnaire,4,No,gender-demo-q,Other (please specify)
3,1618936525403,20/04/2021 16:35:25,1618936525210,-4,20/04/2021 12:35:25,49397,5,questionnaire-qtq4,,12045238,601b56a319565951c0e6a626,3642989,,complete,,607eff3082508a37c968321f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 13.1.3,1440x900,1440x837,,Demographic Questionnaire,4,No,gender-demo-q-text,Genderqueer
4,1618936525403,20/04/2021 16:35:25,1618936525210,-4,20/04/2021 12:35:25,49397,5,questionnaire-qtq4,,12045238,601b56a319565951c0e6a626,3642989,,complete,,607eff3082508a37c968321f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 13.1.3,1440x900,1440x837,,Demographic Questionnaire,4,No,hand-demo-q,Right
5,1618936525403,20/04/2021 16:35:25,1618936525210,-4,20/04/2021 12:35:25,49397,5,questionnaire-qtq4,,12045238,601b56a319565951c0e6a626,3642989,,complete,,607eff3082508a37c968321f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 13.1.3,1440x900,1440x837,,Demographic Questionnaire,4,No,hand-demo-q-quantised,2
6,1618936525403,20/04/2021 16:35:25,1618936525211,-4,20/04/2021 12:35:25,49397,5,questionnaire-qtq4,,12045238,601b56a319565951c0e6a626,3642989,,complete,,607eff3082508a37c968321f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 13.1.3,1440x900,1440x837,,Demographic Questionnaire,4,No,glasses-demo-q,No
7,1618936525403,20/04/2021 16:35:25,1618936525211,-4,20/04/2021 12:35:25,49397,5,questionnaire-qtq4,,12045238,601b56a319565951c0e6a626,3642989,,complete,,607eff3082508a37c968321f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 13.1.3,1440x900,1440x837,,Demographic Questionnaire,4,No,glasses-demo-q-quantised,2
